topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Electrodynamics,Electric Current,Recombination Rate,\dot {n} _ {r} = r n ^ {2},Number of ions recombining per unit volume of gas per unit time:,The rate of change of recombining ions per unit volume equals the recombination coefficient times the square of the ion number density.,"This formula describes the rate of recombination ($\dot{n}_r$) of ions per unit volume per unit time, which is proportional to the square of the ion number density ($n$), with $r$ being the recombination coefficient. It is used in plasma physics or gas discharge phenomena to model the loss of charge carriers due to recombination processes.","Eq(n_r_dot, r * n**2)"
Electrodynamics,Constant Magnetic Field. Magnetics,Magnetic field of a point charge,\mathbf {B} = \frac {\mu_ {0}}{4 \pi} \frac {q [ \mathbf {v r} ]}{r ^ {3}},Magnetic field of a point charge $q$ moving with non-relativistic velocity $v$.,"The magnetic field B is equal to mu-naught over four pi, times the charge q, times the cross product of velocity v and position vector r, all divided by r cubed.","This formula describes the magnetic field generated by a single point charge moving at a constant, non-relativistic velocity. It's a fundamental result derived from Maxwell's equations or the Biot-Savart law for a point charge. It shows that the magnetic field is proportional to the charge and its velocity, and inversely proportional to the square of the distance from the charge (since `[v r]` has units of `v*r`, so `r^3` in denominator makes it `1/r^2` dependence). The cross product `[v r]` indicates the direction of the field.","Eq(B_vec, (mu_0 / (4 * pi)) * (q * v_vec.cross(r_vec)) / r**3)"
Electrodynamics,Constant Magnetic Field. Magnetics,Biot-Savart law (volume current),d \mathbf {B} = \frac {\mu_ {0}}{4 \pi} \frac {[ \mathbf {j r} ]}{r ^ {3}} d V,Biot - Savart law.,"The differential magnetic field dB is equal to mu-naught over four pi, times the cross product of current density j and position vector r, divided by r cubed, times the differential volume dV.","This is one form of the Biot-Savart law, which calculates the differential magnetic field `dB` produced by a differential volume element `dV` carrying a current density `j`. It's used to find the magnetic field generated by continuous current distributions.","Eq(dB_vec, (mu_0 / (4 * pi)) * (j_vec.cross(r_vec)) / r**3 * dV)"
Electrodynamics,Constant Magnetic Field. Magnetics,Biot-Savart law (line current),"d \mathbf {B} = \frac {\mu_ {0}}{4 \pi} \frac {I [ d \mathbf {l} , \mathbf {r} ]}{r ^ {3}}",Biot - Savart law.,"The differential magnetic field dB is equal to mu-naught over four pi, times the current I, times the cross product of differential length vector dl and position vector r, all divided by r cubed.","This is the more common form of the Biot-Savart law, calculating the differential magnetic field `dB` produced by a differential current element `I dl`. It's fundamental for calculating magnetic fields from steady currents in wires or loops.","Eq(dB_vec, (mu_0 / (4 * pi)) * (I * dl_vec.cross(r_vec)) / r**3)"
Electrodynamics,Constant Magnetic Field. Magnetics,Ampere's Circuital Law (in vacuum),\oint \mathbf {B} d \mathbf {r} = \mu_ {0} I,Circulation of a vector $\mathbf{B}$ and Gauss's theorem for it.,The closed line integral of the magnetic field B around a loop is equal to mu-naught times the total current I passing through the loop.,This is Ampere's Circuital Law in its integral form for vacuum or non-magnetic materials. It relates the circulation of the magnetic field around a closed loop to the total current enclosed by that loop. It's useful for calculating magnetic fields in situations with high symmetry.,"Eq(Integral(B_vec.dot(dr_vec), (r_vec, C)), mu_0 * I)"
Electrodynamics,Constant Magnetic Field. Magnetics,Gauss's Law for Magnetism,\oint \mathbf {B} d \mathbf {S} = 0,Circulation of a vector $\mathbf{B}$ and Gauss's theorem for it.,The closed surface integral of the magnetic field B over any closed surface is equal to zero.,"This is Gauss's Law for Magnetism, one of Maxwell's equations. It states that there are no magnetic monopoles, meaning magnetic field lines always form closed loops and never begin or end at a point. The net magnetic flux through any closed surface is always zero.","Eq(Integral(B_vec.dot(dS_vec), (S, S_closed)), 0)"
Electrodynamics,Constant Magnetic Field. Magnetics,Lorentz Force,\mathbf {F} = q \mathbf {E} + q [ \mathbf {v B} ],Lorentz force.,The total force F on a charged particle q is the sum of the electric force (q times electric field E) and the magnetic force (q times the cross product of velocity v and magnetic field B).,"This is the Lorentz force law, which describes the total electromagnetic force exerted on a point charge `q` moving with velocity `v` in the presence of an electric field `E` and a magnetic field `B`. It's fundamental to electromagnetism and explains the motion of charged particles in electromagnetic fields.","Eq(F_vec, q * E_vec + q * v_vec.cross(B_vec))"
Electrodynamics,Constant Magnetic Field. Magnetics,Ampere Force (volume current),d \mathbf {F} = [ \mathbf {j B} ] d V,Ampere force.,"The differential force dF on a volume element dV with current density j in a magnetic field B is the cross product of j and B, times dV.",This formula describes the differential Ampere force acting on a volume element `dV` carrying a current density `j` when placed in a magnetic field `B`. It's used to calculate forces on current-carrying conductors with distributed currents.,"Eq(dF_vec, j_vec.cross(B_vec) * dV)"
Electrodynamics,Constant Magnetic Field. Magnetics,Ampere Force (line current),"d \mathbf {F} = I [ d \mathbf {l}, \mathbf {B} ]",Ampere force.,The differential force dF on a differential length element dl of a wire carrying current I in a magnetic field B is the current I times the cross product of dl and B.,"This is the more common form of the Ampere force, describing the differential force `dF` acting on a differential length element `dl` of a wire carrying current `I` when placed in a magnetic field `B`. It's used to calculate forces on current-carrying wires.","Eq(dF_vec, I * dl_vec.cross(B_vec))"
Electrodynamics,Constant Magnetic Field. Magnetics,Force on a magnetic dipole,\mathbf {F} = p _ {m} \frac {\partial \mathbf {B}}{\partial n},Force and moment of forces acting on a magnetic dipole $\mathbf{p}_m = I S \mathbf{n}$. Where $\partial \mathbf{B} / \partial n$ is the derivative of a vector $\mathbf{B}$ with respect to the dipole direction.,The force F on a magnetic dipole with magnetic moment p_m is equal to p_m times the derivative of the magnetic field B with respect to the dipole direction n.,This formula gives the force exerted on a magnetic dipole `p_m` in a non-uniform magnetic field `B`. The force depends on the gradient of the magnetic field along the dipole's direction. A magnetic dipole experiences a net force only if the magnetic field is non-uniform.,"Eq(F_vec, p_m * Derivative(B_vec, n_scalar))"
Electrodynamics,Constant Magnetic Field. Magnetics,Torque on a magnetic dipole,\mathbf {N} = [ \mathbf {p} _ {m} \mathbf {B} ],Force and moment of forces acting on a magnetic dipole $\mathbf{p}_m = I S \mathbf{n}$.,The torque N on a magnetic dipole with magnetic moment p_m in a magnetic field B is the cross product of p_m and B.,This formula describes the torque `N` experienced by a magnetic dipole `p_m` when placed in a magnetic field `B`. The torque tends to align the magnetic dipole with the magnetic field.,"Eq(N_vec, p_m_vec.cross(B_vec))"
Electrodynamics,Constant Magnetic Field. Magnetics,Circulation of magnetization,\oint \mathbf {J} d \mathbf {r} = I ^ {\prime},Circulation of magnetization $\mathbf{J}$. Where $I'$ is the total molecular current.,The closed line integral of the magnetization vector J around a loop is equal to the total molecular current I-prime enclosed by the loop.,This equation relates the circulation of the magnetization vector `J` around a closed loop to the total molecular current `I'` (also known as bound current) enclosed by that loop. It's relevant in understanding magnetic materials where atomic-level currents contribute to the overall magnetization.,"Eq(Integral(J_vec.dot(dr_vec), (r_vec, C)), I_prime)"
Electrodynamics,Constant Magnetic Field. Magnetics,Magnetic field strength definition,\mathbf {H} = \frac {\mathbf {B}}{\mu_ {0}} - \mathbf {J},Vector $\mathbf{H}$ and its circulation.,"The magnetic field strength H is equal to the magnetic field B divided by the permeability of free space mu-naught, minus the magnetization J.","This equation defines the magnetic field strength `H` (also called auxiliary magnetic field) in terms of the magnetic field `B`, the permeability of free space `mu_0`, and the magnetization `J` of the material. `H` is particularly useful when dealing with magnetic materials, as it accounts for the effects of both free currents and bound currents (magnetization).","Eq(H_vec, B_vec / mu_0 - J_vec)"
Electrodynamics,Constant Magnetic Field. Magnetics,Ampere's Law for H-field,\oint \mathbf {H} d \mathbf {r} = I,Vector $\mathbf{H}$ and its circulation. Where $I$ is the algebraic sum of macroscopic currents.,The closed line integral of the magnetic field strength H around a loop is equal to the total macroscopic current I enclosed by the loop.,"This is Ampere's Law in terms of the magnetic field strength `H`. It states that the circulation of `H` around a closed loop is equal to the total free (macroscopic) current `I` enclosed by the loop. This form is particularly useful for problems involving magnetic materials, as it only considers free currents, simplifying calculations.","Eq(Integral(H_vec.dot(dr_vec), (r_vec, C)), I)"
